시설명,온탕온도,열탕온도,냉탕온도,건식온도,습식온도,시설태그,수질/청결메모,가격,특이사항,후기키워드
우이령불가마,,,11,,,"bulgama,cold-bath,dry-sauna,hot-bath,jjimjilbang,outdoor-air,salt-room,warm-bath,wet-sauna","2월에 오픈해서 시설 깨끗하고 좋았습니다. 한증막에서 땀 진짜 잘났어요!! | 탕들은 물은 깨끗했고,",,2월에 오픈해서 시설 깨끗하고 좋았습니다. 한증막에서 땀 진짜 잘났어요!!,"실망,아쉬,좋아,좋았,추천"
월문온천,,,,,,outdoor-bath,율암온천 물이 너무 더러우시면.. 얼마 멀지 않은 곳에 월문온천도 추천드립니다 ㅎㅎ 월문온천도 사람이 많아서 오전에 가시는걸 추천드리기는한데 율암보다는 수질 관리는 조금 더 되는 ,,,"갈만,추천"
웰니스스파찜질방,,,23,75,54,"cold-bath,dry-sauna,jjimjilbang,outdoor-air,wet-sauna","오전 오프라 들러봤는데 깔끔하고 좋네요. ^^ 시티&공원뷰(?) 찜방 및 욕탕이 신선합니다. 욕탕,사우나,외기욕 등 나름 알차고 좋네요.",,,최고
위례파크사우나,,,,,,dry-sauna,,,,
유성온천,,,,,,"bulgama,jjimjilbang,outdoor-air,outdoor-bath,wet-sauna",사우나랑 찜질시설 모두 청결하게 관리 잘 된 느낌이고 | 이용하시는 분들도 깔끔하게 이용하는 것 같은 느낌?이었답니당,,헉 자세한 후기 너무 감사드립니다!! 정말 가보고싶네요ㅜㅠ 예약 성공 부럽습니다ㅜㅠ,"좋아,좋았,추천"
유진사우나,,,,,,"cold-bath,dry-sauna,warm-bath","큰 특징은 없고, 그냥 동네목욕탕 이었습니다. 생활의달인 청소달인으로 사장님이 나오셨고 3시간에 한번씩 욕탕 청소를 하신다는데 건물자체가 워낙 노후되어 어르신들밖에 없었습니다.!!",,,
유천스파,,,,,,"bulgama,cold-bath,salt-room,wet-sauna",,,,
율암온천,42,44,24,70,,"bulgama,charcoal,cold-bath,dry-sauna,hot-bath,jjimjilbang,outdoor-air,outdoor-bath,pool,seshin,warm-bath",경주 더케이호텔 사우나 다녀왔습니다. 온탕은 40도 열탕은 44도 정도 되었고 노천탕은 44도보다 높은 느낌이었습니다. 온탕열탕 외에 다른 미지근한 물이 있는 탕이 크게 있고 깊지 | 저도 율암온천 주말에 다녀왔는데 한증막은 마감이라 웨이팅이 길었고 목욕은 여탕기준 시장통이였고 시설도 관리가 제대로 안되고 물도 이물질이 많았어요..! 평일은 좀 괜찮지 않을까싶어 | 율암온천 물이 너무 더러우시면.. 얼마 멀지 않은 곳에 월문온천도 추천드립니다 ㅎㅎ 월문온천도 사람이 많아서 오전에 가시는걸 추천드리기는한데 율암보다는 수질 관리는 조금 더 되는 ,,이런.. 저 27일에 경희대병원 예약해서 갔다가 가볼까 했는데.... 아쉽네요 ㅠㅠㅠㅠ,"괜찮,별로,아쉬,좋아,좋았,추천"
일죽목욕탕,,,,,,,,,,좋아
제이씨유사우나,,,,,,outdoor-air,,,,좋아
